Period,TAIEX,MonitoringIndex,LeadingIndex,CoincidentIndex,LaggingIndex
2010/1/1,8099,38,92.55,88.49,79.22
2010/2/1,7432,38,93.36,89.96,80.33
2010/3/1,7775,39,93.99,91.29,81.52
2010/4/1,8052,39,94.44,92.45,82.75
2010/5/1,7526,37,94.8,93.49,84
2010/6/1,7383,37,95.11,94.45,85.22
2010/7/1,7639,38,95.41,95.41,86.33
2010/8/1,7884,38,95.72,96.39,87.32
2010/9/1,8040,37,96.04,97.42,88.23
2010/10/1,8210,34,96.39,98.51,89.1
2010/11/1,8350,32,96.78,99.62,90.02
2010/12/1,8777,34,97.15,100.64,91.1
2011/1/1,8971,34,97.45,101.39,92.36
2011/2/1,8743,34,97.65,101.84,93.77
2011/3/1,8575,31,97.77,101.97,95.2
2011/4/1,8861,29,97.78,101.83,96.64
2011/5/1,8911,27,97.67,101.52,98.01
2011/6/1,8749,25,97.46,101.08,99.21
2011/7/1,8681,23,97.16,100.56,100.25
2011/8/1,7763,20,96.84,99.99,101.1
2011/9/1,7385,21,96.64,99.45,101.72
2011/10/1,7345,19,96.65,99.08,102.14
2011/11/1,7275,16,96.88,98.84,102.4
2011/12/1,6969,14,97.24,98.77,102.49
2012/1/1,7177,13,97.65,98.9,102.42
2012/2/1,7856,15,97.99,99.18,102.33
2012/3/1,8020,14,98.19,99.64,102.37
2012/4/1,7621,14,98.17,100.04,102.48
2012/5/1,7357,15,98,100.31,102.59
2012/6/1,7143,15,97.79,100.44,102.67
2012/7/1,7187,16,97.63,100.6,102.63
2012/8/1,7410,15,97.69,100.74,102.6
2012/9/1,7610,20,98.03,100.85,102.65
2012/10/1,7438,19,98.62,100.93,102.79
2012/11/1,7256,21,99.39,100.96,103.07
2012/12/1,7631,22,100.19,101,103.47
2013/1/1,7759,19,100.89,101.1,103.89
2013/2/1,7933,20,101.4,101.16,104.35
2013/3/1,7907,18,101.75,101.23,104.63
2013/4/1,7893,17,102.04,101.39,104.7
2013/5/1,8272,19,102.29,101.63,104.57
2013/6/1,7989,23,102.53,101.87,104.37
2013/7/1,8102,20,102.86,102.04,104.16
2013/8/1,7932,20,103.25,102.26,103.98
2013/9/1,8193,20,103.66,102.6,103.8
2013/10/1,8366,21,104.04,103.01,103.64
2013/11/1,8237,21,104.38,103.48,103.47
2013/12/1,8431,24,104.7,103.93,103.31
2014/1/1,8567,22,104.98,104.29,103.28
2014/2/1,8496,25,105.24,104.62,103.38
2014/3/1,8687,25,105.43,104.98,103.63
2014/4/1,8900,29,105.58,105.41,103.93
2014/5/1,8936,24,105.69,105.87,104.24
2014/6/1,9229,26,105.81,106.36,104.49
2014/7/1,9474,27,105.91,106.86,104.71
2014/8/1,9266,29,105.98,107.34,104.75
2014/9/1,9229,27,106.03,107.77,104.66
2014/10/1,8819,24,106.07,108.17,104.6
